Card Name,Bank Name,URL,Card Type,Interest Rate(%),Cash Withdrawal Limit Per transaction,Cash withdrawal Limit Per day,Credit Limit(Max),International Transaction Available,Balance Transfer Available,Dual currency,reward_supplementary_card,reward_airport_lounge,reward_cashback_available,reward luxary resort/hotel,reward insurance plan,reward travel benefits,reward fine dining,reward buffet discount,reward medical discount,reward_shopping,reward airlines ticket,reward point program,EMI available
Standard Charter Visa Platinum Debit Card,Standard Charter,https://www.sc.com/bn/save/visa-debit-card/,,,,,,,,,,,,,,,,,,,,,
Standard Charter Visa Gold Debit Card,Standard Charter,https://www.sc.com/bn/save/visa-debit-card/,,,,,,,,,,,,,,,,,,,,,
Standard Charter MasterCard Titanium Credit Card,Standard Charter,https://www.sc.com/bd/credit-cards/credit-card.html,,,,,,,,,,,,,,,,,,,,,
Standard Charter Visa Signature Credit Card,Standard Charter,https://www.sc.com/bd/credit-cards/credit-card.html,,,,,,,,,,,,,,,,,,,,,
Standard Charter Platinum Visa Credit Card,Standard Charter,https://www.sc.com/bd/credit-cards/credit-card.html,,,,,,,,,,,,,,,,,,,,,
Standard Charter Platinum MasterCard Credit Card,Standard Charter,https://www.sc.com/bd/credit-cards/credit-card.html,,,,,,,,,,,,,,,,,,,,,
Standard Charter Gold Visa Credit Card,Standard Charter,https://www.sc.com/bd/credit-cards/credit-card.html,,,,,,,,,,,,,,,,,,,,,
Standard Charter Gold MasterCard Credit Card,Standard Charter,https://www.sc.com/bd/credit-cards/credit-card.html,,,,,,,,,,,,,,,,,,,,,
One Bank Visa Local Debit Card,One Bank,https://www.onebank.com.bd/home/colbrd/debit-card/local/,,,,,,,,,,,,,,,,,,,,,
One Bank Visa School Banking Local Debit Card,One Bank,https://www.onebank.com.bd/home/colbrd/debit-card/sb/,,,,,,,,,,,,,,,,,,,,,
One Bank Visa Platinum Credit Card,One Bank,https://www.onebank.com.bd/home/colbrd/credit-cards/platinum,,,,,,,,,,,,,,,,,,,,,
One Bank Visa Gold Credit Card,One Bank,https://www.onebank.com.bd/home/colbrd/credit-cards/gold/,,,,,,,,,,,,,,,,,,,,,
One Bank Visa Classic Credit Card,One Bank,https://www.onebank.com.bd/home/colbrd/credit-cards/classic,,,,,,,,,,,,,,,,,,,,,
One Bank Prepaid Cards(multiple),One Bank,https://www.onebank.com.bd/home/colbrd/prepaid-card/,,,,,,,,,,,,,,,,,,,,,
Premier Bank Debit Card,Premier Bank,http://premierbankltd.com/pbl/debit-card/,,,,,,,,,,,,,,,,,,,,,
Premier Bank Gold Credit Card,Premier Bank,http://premierbankltd.com/pbl/gold-card/,,,,,,,,,,,,,,,,,,,,,
Premier Bank International Credit Card,Premier Bank,http://premierbankltd.com/pbl/international-card/,,,,,,,,,,,,,,,,,,,,,
Premier Bank Platinum Credit Card,Premier Bank,http://premierbankltd.com/pbl/platinum-card/,,,,,,,,,,,,,,,,,,,,,
Premier Bank Classic Credit Card,Premier Bank,http://premierbankltd.com/pbl/classic-credit-card/,,,,,,,,,,,,,,,,,,,,,
Premier Bank Dual Currency Card ,Premier Bank,http://premierbankltd.com/pbl/dual-card/,,,,,,,,,,,,,,,,,,,,,
Premier prepaid Hajj Card,Premier Bank,http://premierbankltd.com/pbl/prepaid-hajj-card/,,,,,,,,,,,,,,,,,,,,,
Premier Prepaid Travel Card,Premier Bank,http://premierbankltd.com/pbl/prepaid-travel-card/,,,,,,,,,,,,,,,,,,,,,
EXIM Islamic Visa Credit Card ,EXIM Bank,http://www.eximbankbd.com/card/VISA_Islamic_Cards,,,,,,,,,,,,,,,,,,,,,
EXIM Debit Card,EXIM Bank,http://www.eximbankbd.com/card/Debit_Cards,,,,,,,,,,,,,,,,,,,,,
EXIM Prepaid Card,EXIM Bank,http://www.eximbankbd.com/card/prepaid_Card,,,,,,,,,,,,,,,,,,,,,
Exim Gift Card,EXIM Bank,http://www.eximbankbd.com/card/gift_Card,,,,,,,,,,,,,,,,,,,,,
Exim Remittance Card,EXIM Bank,http://www.eximbankbd.com/card/remittance_Card,,,,,,,,,,,,,,,,,,,,,
Exim Travel Card,EXIM Bank,http://www.eximbankbd.com/card/travel_Card,,,,,,,,,,,,,,,,,,,,,
Exim Hajj Card,EXIM Bank,http://www.eximbankbd.com/card/hajj_Card,,,,,,,,,,,,,,,,,,,,,
Islami Bank Khidmah Card,Islami Bank,https://www.islamibankbd.com/advservices/khidmaCard.php,,,,,,,,,,,,,,,,,,,,,
Islami Bank Remittance Card,Islami Bank,https://www.islamibankbd.com/advservices/advSerRemitCard.php,,,,,,,,,,,,,,,,,,,,,
La Riba Islamic Credit Card Platinum,Al Arafah,https://www.al-arafahbank.com/platinum-card.php,,,,,,,,,,,,,,,,,,,,,
La Riba Islamic Credit Card Gold,Al Arafah,https://www.al-arafahbank.com/gold-card.php,,,,,,,,,,,,,,,,,,,,,
La Riba Islamic Credit Card Silver,Al Arafah,https://www.al-arafahbank.com/silver-card.php,,,,,,,,,,,,,,,,,,,,,
Al Arafah Debit Card(s),Al Arafah,https://www.al-arafahbank.com/schedule-of-charges-debit-card.php,,,,,,,,,,,,,,,,,,,,,
La Riba Hajj Card,Al Arafah,https://www.al-arafahbank.com/hajj-card.php,,,,,,,,,,,,,,,,,,,,,
ICB Islamic Debit Card,ICB Islamic Bank Limited,https://www.icbislamic-bd.com/pages/atm.php,,,,,,,,,,,,,,,,,,,,,
SJIBL Visa Debit Card,Shahjalal Islami Bank,https://www.sjiblbd.com/Card.php,,,,,,,,,,,,,,,,,,,,,
SJIBL Prepaid Card,Shahjalal Islami Bank,https://www.sjiblbd.com/Card.php,,,,,,,,,,,,,,,,,,,,,
SJIBL Prepaid International Card,Shahjalal Islami Bank,https://www.sjiblbd.com/Card.php,,,,,,,,,,,,,,,,,,,,,
SIBL Credit Card,Social Islami Bank Limited,https://www.siblbd.com/home/credit_card,,,,,,,,,,,,,,,,,,,,,
Visa Islamic Credit Card(Dual),Social Islami Bank Limited,https://www.siblbd.com/home/gold_classic_visa_card,,,,,,,,,,,,,,,,,,,,,
Visa Islamic Credit Card(Local),Social Islami Bank Limited,https://www.siblbd.com/home/gold_classic_visa_card_local,,,,,,,,,,,,,,,,,,,,,
SIBL Zameel Debit Card,Social Islami Bank Limited,https://www.siblbd.com/home/zameel_debit_card,,,,,,,,,,,,,,,,,,,,,
HSBC ATM Global Card,HSBC,https://www.hsbc.com.bd/1/2/retail-banking/hsbc-select/hsbc-select-features,,,,,,,,,,,,,,,,,,,,,
Combank Visa Shopping Debit Card,Commercial Bank of Ceylon BD,https://www.combank.net.bd/en/personal/cards/debit-cards,,,,,,,,,,,,,,,,,,,,,
Combank Platinum Credit Card VISA ,Commercial Bank of Ceylon BD,https://www.combank.net.bd/en/personal/cards/platinum-cards,,,,,,,,,,,,,,,,,,,,,
Combank Visa Global Gold and Classic,Commercial Bank of Ceylon BD,https://www.combank.net.bd/en/personal/cards/credit-cards,,,,,,,,,,,,,,,,,,,,,
Al Falah Visa Platinum Credit Card,Al Falah Islami Bank Limited,https://www.bankalfalah.com/personal-banking/cards/credit-cards/alfalah-platinum-visa-credit-card/,,,,,,,,,,,,,,,,,,,,,
Al Falah Visa Gold Credit Card,Al Falah Islami Bank Limited,https://www.bankalfalah.com/personal-banking/cards/credit-cards/alfalah-visa-gold-credit-cards/,,,,,,,,,,,,,,,,,,,,,
Al Falah Visa Classic Credit Card,Al Falah Islami Bank Limited,https://www.bankalfalah.com/personal-banking/cards/credit-cards/alfalah-visa-classic-credit-cards/,,,,,,,,,,,,,,,,,,,,,
Al Falah Ultra Cashback Credit Card,Al Falah Islami Bank Limited,https://www.bankalfalah.com/personal-banking/cards/credit-cards/alfalah-ultra-cashback-card/,,,,,,,,,,,,,,,,,,,,,
Al Falah MasterCard Titanium Credit Card,Al Falah Islami Bank Limited,https://www.bankalfalah.com/personal-banking/cards/credit-cards/alfalah-titanium-credit-card/,,,,,,,,,,,,,,,,,,,,,
Al Falah Visa Corporate Card,Al Falah Islami Bank Limited,https://www.bankalfalah.com/personal-banking/cards/credit-cards/alfalah-visa-corporate-card/,,,,,,,,,,,,,,,,,,,,,
Al Falah Paypak Classic Debit Card,Al Falah Islami Bank Limited,https://www.bankalfalah.com/personal-banking/cards/debit-cards/alfalah-paypak-debit-card/,,,,,,,,,,,,,,,,,,,,,
Al Falah Visa Classic Debit Card,Al Falah Islami Bank Limited,https://www.bankalfalah.com/personal-banking/cards/debit-cards/classic-debit-card/,,,,,,,,,,,,,,,,,,,,,
Al Falah Visa Gold Debit Card,Al Falah Islami Bank Limited,https://www.bankalfalah.com/personal-banking/cards/debit-cards/gold-debit-card/,,,,,,,,,,,,,,,,,,,,,
Al Falah Visa Platinum Debit Card,Al Falah Islami Bank Limited,https://www.bankalfalah.com/personal-banking/cards/debit-cards/platinum-debit-card/,,,,,,,,,,,,,,,,,,,,,
Al Falah Visa Signature Debit Card,Al Falah Islami Bank Limited,https://www.bankalfalah.com/personal-banking/cards/debit-cards/signature-debit-card/,,,,,,,,,,,,,,,,,,,,,
