Card Name,Bank Name,URL,Card Type,Interest Rate(%),Cash Withdrawal Limit Per transaction,Cash withdrawal Limit Per day,Credit Limit(Max),International Transaction Available,Balance Transfer Available,Dual currency,reward_supplementary_card,reward_airport_lounge,reward_cashback_available,reward luxary resort/hotel,reward insurance plan,reward travel benefits,reward fine dining,reward buffet discount,reward medical discount,reward_shopping,reward airlines ticket,reward point program,EMI available
Brac Bank Hajj Card ,BRAC Bank Limited,https://www.bracbank.com/Hajj-Prepaid-Card.php,Prepaid,,,,,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F
Brac Bank Travel Card,BRAC Bank Limited,https://www.bracbank.com/Travel-Card.php,Prepaid,,,,,T,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F
City Bank Visa Electron Debit Card,City Bank Limited,https://www.thecitybank.com/city_Debit-Card.php,Debit,0.0,20000.0,50000,,F,F,F,F,F,F,F,F,F,T,T,F,T,F,F,F
City Bank MasterCard Platinum International Debit Card,City Bank Limited,https://www.thecitybank.com/MasterCard.php,Debit,0.0,20000.0,50000,,T,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F
City Bank American Express Credit Card,City Bank Limited,https://www.thecitybank.com/new_Credit_Card.php,Credit,,,,,T,F,T,F,T,F,T,T,T,T,T,T,T,T,F,F
Dhaka Bank Credit Card,Dhaka Bank,https://dhakabankltd.com/credit-card/,Credit,,,,"5,00,000.00",T,F,F,T,F,F,T,F,F,T,F,T,T,T,F,F
Dhaka Bank Debit Card,Dhaka Bank,https://dhakabankltd.com/debit-card/,Debit,,,,,T,F,F,F,F,F,T,F,F,T,F,T,T,T,F,F
Dutch Bangla Visa Debit Card,Dutch Bangla Bank Limited,https://www.dutchbanglabank.com/electronic-banking/visadebitcard.html,Debit,,,,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
Dutch Bangla MasterCard Titanium Credit Card,Dutch Bangla Bank Limited,https://www.dutchbanglabank.com/electronic-banking/titanium.html,Credit ,,,,"20,00,000.00",T,F,F,T,F,F,F,F,F,F,F,F,T,F,F,F
Dutch Bangla VISA platinum Credit Card,Dutch Bangla Bank Limited,https://www.dutchbanglabank.com/electronic-banking/platinum.html,Credit ,,,,"20,00,000.00",T,F,F,F,T,F,T,F,T,T,F,F,F, F,F,F
Dutch Bangla VISA Classic Local Credit Card,Dutch Bangla Bank Limited,https://www.dutchbanglabank.com/electronic-banking/visaclasicloaclcrdt.html,Credit ,,,,99999,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F
Dutch Bangla VISA Gold Local Credit Card,Dutch Bangla Bank Limited,https://www.dutchbanglabank.com/electronic-banking/visagoldlocalcredit.html,Credit ,,,,"5,00,000",F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
Dutch Bangla VISA classic International Credit Card,Dutch Bangla Bank Limited,https://www.dutchbanglabank.com/electronic-banking/visaclassicinternationalcredit.html,Credit ,,,,99999,T,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F
Dutch Bangla VISA Gold International Credit Card,Dutch Bangla Bank Limited,https://www.dutchbanglabank.com/electronic-banking/visagoldintcredit.html,Credit ,,,,500000,T,F,F,F,F,F,F,F,F,F,F,F,T,T,F,F
Dutch Bangla MasterCard Gold International Credit Card,Dutch Bangla Bank Limited,https://www.dutchbanglabank.com/electronic-banking/mastergoldlintcredit.html,Credit ,,,,500000, T,F,F,F,F,F,F,F,F,F,F,F,T,T,F,F
Dutch Bangla MasterCard Classic Local Credit Card,Dutch Bangla Bank Limited,https://www.dutchbanglabank.com/electronic-banking/masterclassiclocalcredit.html,Credit ,,,,99999,T,F,F,F,F,F,F,F,F,F,F,F,T,T,F,F
Dutch Bangla MasterCard Gold Local Credit Card,Dutch Bangla Bank Limited,https://www.dutchbanglabank.com/electronic-banking/mastergoldlocalclassiccredit.html,Credit ,,,,500000,T,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F
Dutch Bangla MasterCard Classic International Credit Card,Dutch Bangla Bank Limited,https://www.dutchbanglabank.com/electronic-banking/masterclassicintcredit.html,Credit ,,,,99999,T,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F
IFIC Visa Local Classic Card,IFIC Bank Limited,https://www.ificbank.com.bd/visa_local_classic_card.php,Credit,,,,,F,T,F,T,T,F,F,F,F,T,T,F,T,F,F,F
IFIC Classic Gold Credit Card,IFIC Bank Limited,https://www.ificbank.com.bd/visa_local_gold_card.php,Credit,,,,,F,T,F,F,T,F,F,F,F,F,F,F,T,F,F,F
IFIC Dual Classic Credit Card,IFIC Bank Limited,https://www.ificbank.com.bd/visa_dual_int_classic_card.php,Credit,,,,50000,T,T,F,T,T,F,F,F,F,F,F,F,T,F,F,F
IFIC Dual Gold Credit Card,IFIC Bank Limited,https://www.ificbank.com.bd/visa_dual_int_gold_card.php,Credit,,,,"5,00,000.00",T,T,F,T,T,F,F,F,F,F,F,F,T,F,F,F
IFIC International Debit Card,IFIC Bank Limited,https://www.ificbank.com.bd/int_debit_card.php,Debit,,,,,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
Jamuna Bank VISA Classic Credit Card,Jamuna Bank Limited,http://jamunabankbd.com/front/productdetails/27/87/120,Credit,30.0,,0.5,"1,00,000.00",F,T,F,F,F,F,F,F,F,F,F,F,F,F,T,F
Jamuna Bank VISA Gold Credit Card,Jamuna Bank Limited,http://jamunabankbd.com/front/productdetails/27/87/121,Credit,30.0,,0.5,"2,00,000.00",F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F
Jamuna Bank VISA Dual Gold Credit Card,Jamuna Bank Limited,http://jamunabankbd.com/front/productdetails/27/87/122,Credit,,,,"2,00,000.00",F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F
Jamuna Bank Visa Electron Debit Card,Jamuna Bank Limited,http://jamunabankbd.com/front/productdetails/27/87/123,Debit,0.0,,100000,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
Meghna Debit Card,Meghna Bank,https://www.meghnabank.com.bd/mbl/debit_card.php,Debit,0.0,,,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
Meghna Visa Silver Credit Card,Meghna Bank,https://www.meghnabank.com.bd/mbl/silver_credit_card.php,Credit,30.0,,,"3,00,000.00",F,T,F,F,F,F,F,F,F,F,F,F,F,F,T,F
Meghna Visa Gold Credit Card,Meghna Bank,https://www.meghnabank.com.bd/mbl/gold_credit_card.php,Credit,18.0,,,"5,00,000.00",T,T,T,T,F,F,T,F,F,F,F,F,T,F,T,T
MDB Visa Gold Dual Credit Card,Midland Bank,https://www.midlandbankbd.net/mdb-credit-card/,Credit,,,,"1,99,000.00",F,T,F,T,F,F,T,F,T,T,T,T,T,F,T,F
MDB Visa Platinum Dual Credit Card,Midland Bank,https://www.midlandbankbd.net/mdb-credit-card/,Credit,18.0,,,"5,00,000.00",F,T,F,T,F,F,T,F,T,T,T,T,T,F,T,T
MDB Visa Debit Card,Midland Bank,https://www.midlandbankbd.net/debit-card/,Debit,,50000.0,50000,,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F
